scene_id,attack_name,category,severity,success,cve_reference,duration_ms
108294558_176710095,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",17.5
108294558_176710095,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",5.0
108294558_176710095,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",5.9
108294558_176710095,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",6.1
108294558_176710095,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",2.6
108294558_176710095,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",3.6
108294558_176710095,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",411.4
108294558_176710095,"Command Injection (Null Byte)",command_injection,medium,1,"",3001.5
108294558_176710095,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",4.4
108294558_176710095,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",3.9
108294558_176710095,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",568.7
108294558_176710095,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",9.0
108294558_176710095,"State Manipulation (Sensor Disarm)",state_manipulation,low,0,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",222.5
108294558_176710095,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",6.8
108294558_176710095,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",213.9
108294558_176710095,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24038.1
108294558_176710095,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",10.1
108294558_176710095,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",11.1
