scene_id,attack_name,category,severity,success,cve_reference,duration_ms
105515403_173104449,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",6.2
105515403_173104449,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",5.8
105515403_173104449,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",9.0
105515403_173104449,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",6.2
105515403_173104449,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",2.6
105515403_173104449,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",5.5
105515403_173104449,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",415.8
105515403_173104449,"Command Injection (Null Byte)",command_injection,medium,1,"",3003.8
105515403_173104449,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",3.9
105515403_173104449,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",2.6
105515403_173104449,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",566.6
105515403_173104449,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",6.4
105515403_173104449,"State Manipulation (Sensor Disarm)",state_manipulation,low,0,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",216.3
105515403_173104449,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",4.2
105515403_173104449,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",214.9
105515403_173104449,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24026.1
105515403_173104449,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",9.5
105515403_173104449,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",8.8
