scene_id,attack_name,category,severity,success,cve_reference,duration_ms
104862687_172226883,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",10.1
104862687_172226883,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",5.1
104862687_172226883,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",6.9
104862687_172226883,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",6.3
104862687_172226883,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",2.6
104862687_172226883,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",5.7
104862687_172226883,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",411.9
104862687_172226883,"Command Injection (Null Byte)",command_injection,medium,1,"",3003.3
104862687_172226883,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",4.1
104862687_172226883,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",2.6
104862687_172226883,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",565.8
104862687_172226883,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",7.8
104862687_172226883,"State Manipulation (Sensor Disarm)",state_manipulation,low,0,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",210.9
104862687_172226883,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",3.1
104862687_172226883,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",208.2
104862687_172226883,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24031.1
104862687_172226883,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",9.7
104862687_172226883,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",11.4
