scene_id,attack_name,category,severity,success,cve_reference,duration_ms
108736737_177263406,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",13.0
108736737_177263406,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",6.3
108736737_177263406,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",8.6
108736737_177263406,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",5.3
108736737_177263406,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",2.6
108736737_177263406,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",6.0
108736737_177263406,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",416.8
108736737_177263406,"Command Injection (Null Byte)",command_injection,medium,1,"",3003.6
108736737_177263406,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",3.8
108736737_177263406,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",1.8
108736737_177263406,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",591.4
108736737_177263406,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",8.3
108736737_177263406,"State Manipulation (Sensor Disarm)",state_manipulation,low,0,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",216.5
108736737_177263406,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",6.5
108736737_177263406,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",218.0
108736737_177263406,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24036.2
108736737_177263406,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",9.7
108736737_177263406,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",11.0
