scene_id,attack_name,category,severity,success,cve_reference,duration_ms
108736884_177263634,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",15.2
108736884_177263634,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",6.8
108736884_177263634,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",7.8
108736884_177263634,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",6.4
108736884_177263634,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",3.5
108736884_177263634,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",5.4
108736884_177263634,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",415.5
108736884_177263634,"Command Injection (Null Byte)",command_injection,medium,1,"",3003.5
108736884_177263634,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",5.4
108736884_177263634,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",4.0
108736884_177263634,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",560.0
108736884_177263634,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",9.2
108736884_177263634,"State Manipulation (Sensor Disarm)",state_manipulation,critical,1,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",209.8
108736884_177263634,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",6.4
108736884_177263634,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",215.7
108736884_177263634,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24039.8
108736884_177263634,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",10.6
108736884_177263634,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",7.5
