scene_id,attack_name,category,success,packets_sent,packets_captured,duration_ms
102343992,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.6
102343992,"Matter State Injection",matter_message_injection,0,0,0,6.1
102343992,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
102343992,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,509.9
102343992,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1115.4
102343992,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,513.0
102343992,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
102343992,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
102343992,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.5
102343992,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
102343992,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
102343992,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
102343992,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
102343992,"Traffic Fingerprinting",traffic_analysis,1,0,0,1823.3
102344193,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,4.1
102344193,"Matter State Injection",matter_message_injection,0,0,0,3.1
102344193,"Matter Command Hijack",matter_command_hijack,0,0,0,2.7
102344193,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,510.1
102344193,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1111.6
102344193,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,515.2
102344193,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
102344193,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
102344193,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,2.2
102344193,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
102344193,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
102344193,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
102344193,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
102344193,"Traffic Fingerprinting",traffic_analysis,1,0,0,1823.0
102344439,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.7
102344439,"Matter State Injection",matter_message_injection,0,0,0,3.5
102344439,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
102344439,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,510.5
102344439,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1111.3
102344439,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,518.3
102344439,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
102344439,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
102344439,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.8
102344439,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
102344439,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
102344439,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
102344439,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
102344439,"Traffic Fingerprinting",traffic_analysis,1,0,0,1831.3
102816009,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,8.0
102816009,"Matter State Injection",matter_message_injection,0,0,0,3.0
102816009,"Matter Command Hijack",matter_command_hijack,0,0,0,2.2
102816009,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,508.9
102816009,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1112.7
102816009,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,515.2
102816009,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
102816009,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
102816009,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.6
102816009,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
102816009,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
102816009,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
102816009,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
102816009,"Traffic Fingerprinting",traffic_analysis,1,0,0,1825.5
102816615,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.6
102816615,"Matter State Injection",matter_message_injection,0,0,0,3.2
102816615,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
102816615,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,510.2
102816615,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1111.0
102816615,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,516.3
102816615,"Zigbee Frame Replay",protocol_replay,1,0,0,0.1
102816615,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
102816615,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.9
102816615,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
102816615,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
102816615,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
102816615,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
102816615,"Traffic Fingerprinting",traffic_analysis,1,0,0,1821.8
102816852,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.4
102816852,"Matter State Injection",matter_message_injection,0,0,0,3.5
102816852,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
102816852,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,520.4
102816852,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1126.6
102816852,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,520.3
102816852,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
102816852,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
102816852,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.6
102816852,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
102816852,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
102816852,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
102816852,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
102816852,"Traffic Fingerprinting",traffic_analysis,1,0,0,1854.9
103997445_171030492,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.0
103997445_171030492,"Matter State Injection",matter_message_injection,0,0,0,3.1
103997445_171030492,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
103997445_171030492,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,510.4
103997445_171030492,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1114.8
103997445_171030492,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,511.7
103997445_171030492,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
103997445_171030492,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
103997445_171030492,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.7
103997445_171030492,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
103997445_171030492,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
103997445_171030492,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
103997445_171030492,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
103997445_171030492,"Traffic Fingerprinting",traffic_analysis,1,0,0,1823.4
103997562_171030642,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,1.9
103997562_171030642,"Matter State Injection",matter_message_injection,0,0,0,3.2
103997562_171030642,"Matter Command Hijack",matter_command_hijack,0,0,0,2.4
103997562_171030642,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,507.2
103997562_171030642,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1115.8
103997562_171030642,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,517.9
103997562_171030642,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
103997562_171030642,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
103997562_171030642,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,2.6
103997562_171030642,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
103997562_171030642,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
103997562_171030642,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
103997562_171030642,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
103997562_171030642,"Traffic Fingerprinting",traffic_analysis,1,0,0,1832.4
103997799_171031002,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,4.9
103997799_171031002,"Matter State Injection",matter_message_injection,0,0,0,3.3
103997799_171031002,"Matter Command Hijack",matter_command_hijack,0,0,0,2.5
103997799_171031002,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,520.4
103997799_171031002,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1126.6
103997799_171031002,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,512.6
103997799_171031002,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
103997799_171031002,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
103997799_171031002,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,2.1
103997799_171031002,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
103997799_171031002,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
103997799_171031002,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
103997799_171031002,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
103997799_171031002,"Traffic Fingerprinting",traffic_analysis,1,0,0,1853.8
103997994_171031320,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.1
103997994_171031320,"Matter State Injection",matter_message_injection,0,0,0,4.4
103997994_171031320,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
103997994_171031320,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,510.5
103997994_171031320,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1115.7
103997994_171031320,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,516.4
103997994_171031320,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
103997994_171031320,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
103997994_171031320,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,1.4
103997994_171031320,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
103997994_171031320,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
103997994_171031320,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
103997994_171031320,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
103997994_171031320,"Traffic Fingerprinting",traffic_analysis,1,0,0,1831.8
104348160_171513093,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.2
104348160_171513093,"Matter State Injection",matter_message_injection,0,0,0,3.3
104348160_171513093,"Matter Command Hijack",matter_command_hijack,0,0,0,2.2
104348160_171513093,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,516.3
104348160_171513093,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1122.4
104348160_171513093,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,524.9
104348160_171513093,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
104348160_171513093,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
104348160_171513093,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,2.4
104348160_171513093,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
104348160_171513093,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
104348160_171513093,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
104348160_171513093,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
104348160_171513093,"Traffic Fingerprinting",traffic_analysis,1,0,0,1853.2
104348361_171513414,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.1
104348361_171513414,"Matter State Injection",matter_message_injection,0,0,0,3.2
104348361_171513414,"Matter Command Hijack",matter_command_hijack,0,0,0,4.5
104348361_171513414,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,507.0
104348361_171513414,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1116.0
104348361_171513414,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,518.3
104348361_171513414,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
104348361_171513414,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.0
104348361_171513414,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,3.1
104348361_171513414,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
104348361_171513414,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
104348361_171513414,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
104348361_171513414,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
104348361_171513414,"Traffic Fingerprinting",traffic_analysis,1,0,0,1825.8
104862417_172226382,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.4
104862417_172226382,"Matter State Injection",matter_message_injection,0,0,0,4.5
104862417_172226382,"Matter Command Hijack",matter_command_hijack,0,0,0,5.9
104862417_172226382,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,507.9
